accessionNo,boxNumber,title,placeOfPublication,publisher,dateOfPublication,descriptionContent,type,paper,abstract,keywords,,,,,
E2-0001AC,1,Conference Proceedings : Electrical Engineering Computer Science ,"Route 23, Box 620 Claverack, NY 12513","Curran Associates, Inc. ",Sep-91,Pricelist of Proceedings,,,,,,,,,
E2-0002AC,,"16th IIEE Annual National Convention : ""Sufficiency in Electrical Energy - A Challenge to IIEE""",,"Institute of Integrated Electrical Engineers of the Phils., Inc. (IIEE)","Manila Midtown Hotel : November 26-29, 1991",,,"Optimizing Power System Reliability
Del Mundo, Rowaldo R. ",,"Electric utility
Reliability
Reliable system
Power interruptions
Electric power system",,,,,
E2-0003AC,,"22nd mid-year general membership meeting : ""New Electrical Engineering Law (RA 7920) : IIEE's Key to Professional Upliftment & Social Responsibility ",,"Institute of Integrated Electrical Engineers of the Phils., Inc. (IIEE)","Philippine International Convention Center World Trade Center CCP Complex, Roxas Blvd., Pasay City : July 9-12, 1997",,Technical Papers ,"Proposed Philippine Photovoltaic Standards
Del Mundo, Rowaldo R. ","The application of solar photovoltaic (PV) technology is becoming popular due to increasing awareness and concern in the environment. The PV experience in the Philippines since the early '80s have indicated that many failures in PV systems can be attributed to the lack of standards in PV products and in systems design, installation, operation and maintenance practices. This paper presents the Proposed Philippine Photovoltaic Standards developed by the Solar Laboratory of the University of the Philippines for adoption by the Institute of Integrated Electrical Engineers of the Philippines (IIEE) and the Bureau of Product Standards (BPS) of the Department of Trade and Industry. ","Solar Photovoltaic Technology
Photovoltaic Systems
Photovoltaic Standards 
Institute of Integrated Electrical Engineers of the Philippines (IIEE)
Bureau of Product Standards (BPS)
Department of Trade and Industry",,,,,
E2-0004AC,,"13th Annual National Convention : ""Electrical Technology for Higher Productivity""",,"Institute of Integrated Electrical Engineers of the Phils., Inc. (IIEE)","Westin Philippine Plaza : November 17-20, 1988",,,"Impact of Power Interruptions on National Economy
Viray, Francisco L. 
Del Mundo, Rowaldo R. ",,"Power interruptions
National Economy",,,,,
E2-0005AC,,"""IIEE : realizing its vision""
19th annual national convention
 ",,"Institute of Integrated Electrical Engineers of the Phils., Inc. (IIEE)","Manila Midtown Hotel : November 26-29, 1991",,,"DOE Guidelines on Electrical Design for Energy Conservation
Del Mundo, Rowaldo R. 
",,"Energy consumption
Department of Energy (DOE)
Energy conserving design
Utility systems
Efficient energy utilization
Department of Public Works and Highways (DPWH)
Referral Code
National Building Code 
Energy--Buildings 
Philippine Electric Energy Consumption
End-Use Energy Index--Buildings
Power Sector
Energy consumption--Buildings 
Electrical Design
Design Illuminance Levels
Building Lighting Systems
Motors
Transformers
Power Distribution",,,,,
E2-0006AC,,"Coswen'97 : 1997 Conference on Ocean, Solar & Wind Energy ",,Department of Energy and Society for the Advancement of Technology Management in the Philippines,"Manila : New World Hotel, December 1, 1997",,,"Solar PV Technologies for Pole Vaulting in the Energy Sector 
Del Mundo, Rowaldo R. 
Cruz, Erwin Victor R. ",,"PV Technology--Asia
PV Technology Experience--Philippines
Crystalline Silicon Solar Cells
Energy Pole Vaulting
U.P. Solar Laboratory
Core Competency Building",,,,,
E2-0007AC,2,King Mongkut's Institute Technology Ladkrabang : Faculty of Engineering Brochure,Thailand : Bangkok,,,,,,,,,,,,
E2-0008AC,,"Participation of State and Private Universities and Colleges on Implementation and Development of Information Technology
Computer Aided Design (CAD) / Computer Aided Engineering (CAE) Skills Training Program","Makati Avenue, Makati, Metro Manila, Philippines ","ATS Technologies, Inc. ","ATS ADVANCED APPLICATIONS TRAINING CENTER
118A & 119A Ground Floor, The Atrium of Makati, August 10, 1990","News Releases
Technical Papers ",,"Towards a Common Database for Architects, Engineers, Surveyors, Contractors & Developers
Dr T H Ang and Mr M C Thum
ATS Software Centre Pte Ltd
10 Anson Road, #03-05/07
International Plaza
Singapore, 0207","This paper describes the problem of information management in the building industry. It looks into some of the factors which has contributed to the problem. A manual approach to solve this problem using the CI/SfB system is briefly discussed. Computer-based applications using CAD and other software will also be covered. Finally, the paper discusses some of the new innovations in information management which will further assist in this task of creating a common database for the building industry. ","Information management 
Building industry
Computer-based applications
Computer aided design",,,,,
E2-0009AC,,,,,,,,"Practical Computer Applications in Architecture 
ATS Software Centre Pte Ltd
10 Anson Road, #03-05/07
International Plaza,
Singapore 0207",,"Computer aided design 
Computer aided engineering",,,,,
E2-0010AC,,,,,,,,"Utilizing graphics facilities in computer aided structural/stress analysis and design 
Association of Structural Engineers of the Philippine Convention
Westin Philippines Plaza, CCP Complex, Manila
May 25-26, 1990",,Computer aided strucutural engineering solutions ,,,,,
E2-0011AC,,Enhancing the implementation of AFMA through improved agricultural engineering standards ,,"AMTEC 
Agricultural Machinery Testing and Evaluation Center
University of the Philippines Los Baños, College, Laguna ","April 11, 2002","Draft Standards on 
Engineering Materials - Bolts and Nuts - Part 1 : Specifications and Applications for Agricultural Machines",,,,Agricultural engineering standards ,,,,,
E2-0012AC,3,"Mena, Marino M.
Dean, College of Engineering
1979-1985",,,,,,"The Fundamentals of Environmental Engineering Education
Marino M. Mena ","The engineer plays an important role in development and change. However, the traditional concept of development has been a compromise between what is technically feasible and what is considered economically attractive. The increasing environmental problems associated with engineering development projects has made the engineering profession modify this traditional concept. This means that, today, development has to be a compromise between what is technically feasible, what is considered economically attractive, and what is acceptable on environmental grounds. If engineers can be  educated and trained with regard to the important environmental issues of the day, they would then be better prepared to understand the environmental consequences of their actions. This is the essence of the environmental education and training of engineers. ",Environmental Engineering Education,,,,,
E2-0013AC,,,,,,,,"An Overview of Solid Waste Management 
Marino M. Mena ",,Solid Waste Management ,,,,,
E2-0014AC,,,,,,,,"Solid Waste Management : An Integrated Approach
Marino M. Mena ",,Solid Waste Management ,,,,,
E2-0015AC,,,,,,,,"Solid Waste Management : Its Value-Education Component 
Marino M. Mena ","Solid waste management is an environmental problem. As such the problem has many aspects : social, technical, economic, financial, political. An effective solution to the problem requires a process of change in which human attitudes and behaviors are modified so that in endeavors to address it holistically goals, strategies and plans are established and implemented in the most efficient way. To accomplish this process of change, a solid waste management program has to have a value-education component. This paper focuses on this specific issue. ",Solid Waste Management ,,,,,
E2-0016AC,,,,,,,,"Sanitary Landfill Technology : An Overview of Design, Construction, Monitoring, Operation and Economic Analysis","This paper deals with an overview of the general activities involved in the application of sanitary landfill technology which includes design, construction, monitoring, operation and economic analysis. Detailed discussions of each activity are made in separate papers. It is the purpose of this paper to give the reader a general overview of the various stages in the application of sanitary landfill technology for the disposal of solid wastes. Let it be said that site location is an integral part of design and that sanitary landfill technology when properly designed, properly constructed, well operated and maintained, and adequately monitored are acceptable on environmental grounds.",Sanitary landfill technology,,,,,
E2-0017AC,,,,,,,,"Question of concern : how could we return public trust in sanitary landfill technology 
Marino M. Mena 

Seminar on Management and Technology of Environmental Problems, U.P. Alumni Center, Diliman, Quezon City, March 3, 2000",,Sanitary landfill technology ,,,,,
E2-0018AC,,,,,,,,Solid Waste Code of Responsibility,,Solid Waste Code of Responsibility,,,,,
E2-0019AC,,,,,,,,"Results of a survey on the goals of engineering education
Marino M. Mena 
pp. 1-18",,Engineering education,,,,,
E2-0020AC,,,,,,,,"Professorial chairs in Engineering

Report by Dean Marino M. Mena to the Board of Trustees, UPERDFI during its 22nd meeting held on August 31, 1979",,,,,,,
E2-0021AC,,,,,,,,"Notes on university research : cooperation with government and industry 
Marino M. Mena ",,University research,,,,,
E2-0022AC,,,,,,,,"Various Functions of Basic Engineering Education
Marino M. Mena ",,Basic engineering education,,,,,
E2-0023AC,,,,,,,,"Building, utilities and grounds administration 
Marino M. Mena ",,Building administration,,,,,
E2-0024AC,,,,,,,,"Report to University of the Philippines
Marino M. Mena
""Engineering Education and Training for Sustainable Development : Towards Improved Performance""",,Engineering education,,,,,
E2--0025AC,,,,,,,,"My Forty Five Years of Teaching at U.P. (1957-2002)
Marino M. Mena ",,,,,,,
E2-0026AC,,,,,,,,"Globalization : its impact on environment 
Marino M. Mena ","This paper only focuses on the impact of globalization on the environment. The term ""globalization"" is interpreted as a ""free market concept that calls for a borderless world"" - the definition adopted by the organizers of the 2002 EWC/EWCA International Conference in Kuala Lumpur, Malaysia. The term ""environment"" as used here only refers to the natural environment and not in its broadest sense which could include, for example, the internal and external forces which have an effect on a company's operation and success. The paper specifically respond to the organizers' question : Can the Asia-Pacific nations prepare themselves to minimize the negative effects and maximize the positive advantages?"" My answer to this question is ""yes, provided the measures as recommended herein are considered as integral part of globalization"". The challenge of globalization with respect to the environment is how to have adequate and implementable environmental management program while pursuing the economic thrust of globalization which is to avail of the advances in science and technology so as to expand the businesses, to increase productivity with products of global quality, and thus, to provide better and more opportunities for the people in a global context. Globalization will challenge our people to gear up for competition. However, environmental management has to be an integral part of the overall effort. The resources of the nature and the quality of the environment hae to be sustained because they belong to the past, the present, and the future. ","Globalization
Environmental management program
Environmental management ",,,,,
E2-0027AC,,,,,,,,"Value and Ethics in Engineering Practice
Marino M. Mena ",,"Engineering practice
Values
Ethics",,,,,
E2-0028AC,,,,,,,,"Let us unite for the sake of the future : an appeal to the silent majority 
Marino M. Mena ",,,,,,,
E2-0029AC,,"Thoughts on Sustainable Development and Education
Marino M. Mena 

Regional Conference in the Philippines
Theme : Asia and the Pacific Facing the New Millenium : Challenges, Opportunities and Responses ",,,"Shangri-la EDSA Plaza Hotel, Ortigas Center, Metro Manila : January 28-29, 1999",,,Sustainable Development : Its Implications to Engineering Education by Marino M. Mena ,"Sustainable development is the challenge of meeting human needs for natural resources, industrial products, energy, food, transportation, shelter and effective waste management while conserving and protecting environmental quality and the natural resource base essential for future development. Meeting such a challenge requires the concerted effort among all sectors of society in order for us to achieve broader social needs. The education sector has an important role to play in this effort. It is the purpose of this paper to discuss the implications of sustainable development and the expected response of engineering education to the challenge as we move towards the new millennium. ","Sustainable development
Engineering education",,,,,
E2-0030AC,,"2000 EWC/EWCA International Conference 

Theme : Building an Asia/Pacific Community : The East-West Center in the 21st Century ",,,"Hawaiian Regent Hotel
2552 Kalakua Avenue
Honolulu, Hawaii 96815-3699
USA

July 4-8, 2000",,,"Engineering Education for the Environment : A Continuing Challenge in the 21st century 
by Marino M. Mena ","Responding to the increasing demands of modern society for a better and sustainable environment will continue to be a major global challenge in the 21st century. In the field of engineering society calls for engineering who are environmentally educated and who will be able to balance technical with socio-economic-ecological efficiency in their planning, design, construction, operation, maintenance and monitoring of engineering projects. These demands have broadened the role in society of the engineering profession and as a consequence, have increased the responsibilities of engineering education. Both sectors, in cooperation with the other sectors of society, have to work together for a better and sustainable environment. How these two sectors can effectively respond to the environmental challenge is the main focus of this paper. ",Engineering education,,,,,
E2-0031AC,,,,,,,,"Notes on the Philosophy and Concept of Ecology and Sustainable Development 
by Marino M. Mena ","Sustainable development, although basically an economic-growth concept, is ecology-related. Sustainable development is the challenge of meeting human needs for natural resources, industrial products, energy, food, transportation, shelter, and effective waste management while conserving and protecting environmental quality and the natural-resource base essential for future development. Meeting such a challenge requires the concerted effort among all sectors of human society : the government and the private sectors, the entrepreneurs and the industrialists, the producers and the consumers, the professionals and the scientists, the teachers and the students, the NGOs and the people. The concept of sustainable development aims to achieve economic growth without destroying the natural-resource base essential for meeting the needs of the future generations. Man cannot achieve this goal if he does not recognize the reality that he is part of a life-support system composed of the atmosphere, water, minerals, soil, plants, animals and micro-organisms that function together to keep the whole system viable. It is therefore obvious that sustainable development and ecology are inter-related. The following discussion focuses on this philosophy. ","Sustainable development
Ecology",,,,,
E2-0032AC,,,,,,,,"My vision for a municipality : towards a meaningful and sustainable socio-economic development 
by Marino M. Mena ",,Sustainable socio-economic development ,,,,,
